thitran,huyen,tinh, 1, 2, 3, 4, 5
An Châu,Sơn Động,Bắc Giang,"20,22",9.416,466,1991,V
Bắc Lý,Hiệp Hòa,Bắc Giang,"12,90",15.279,1.184,2022,V
Bố Hạ,Yên Thế,Bắc Giang,"7,27",10.408,1.432,1957,V
Cao Thượng,Tân Yên,Bắc Giang,"9,44",13.323,1.411,1997,V
Chũ,Lục Ngạn,Bắc Giang,"12,84",14.625,1.139,1957,IV
Đồi Ngô,Lục Nam,Bắc Giang,"13,69",20.206,1.475,1997,IV
Kép,Lạng Giang,Bắc Giang,"9,64",11.832,1.227,1959,V
Nhã Nam,Tân Yên,Bắc Giang,"5,60",8.2,1.464,2003,V
Nham Biền,Yên Dũng,Bắc Giang,"21,96",14.22,648,2019,V
Phồn Xương,Yên Thế,Bắc Giang,"8,55",8.436,987,2019,V
Phương Sơn,Lục Nam,Bắc Giang,"8,45",8.38,991,2022,V
Tân An,Yên Dũng,Bắc Giang,"9,15",9.966,1.089,2019,V
Tây Yên Tử,Sơn Động,Bắc Giang,"82,06",5.959,73,2019,V
Thắng,Hiệp Hòa,Bắc Giang,"11,35",18.833,1.659,1957,IV
Vôi,Lạng Giang,Bắc Giang,"12,13",16.855,1.39,1997,V
Bằng Lũng,Chợ Đồn,Bắc Kạn,"27,28",6.523,239,1985,V
Chợ Rã,Ba Bể,Bắc Kạn,"4,15",4.499,1.084,,V
Đồng Tâm,Chợ Mới,Bắc Kạn,"22,67",5.853,258,2020,V
Nà Phặc,Ngân Sơn,Bắc Kạn,"62,45",6.459,103,1980,V
Phủ Thông,Bạch Thông,Bắc Kạn,"21,97",3.679,167,1995,V
Vân Tùng,Ngân Sơn,Bắc Kạn,"51,10",5.59,109,2023,V
Yến Lạc,Na Rì,Bắc Kạn,"17,65",5.28,299,1985,V
Bảo Lạc,Bảo Lạc,Cao Bằng,"11,03",8.767,794,,V
Đông Khê,Thạch An,Cao Bằng,"14,97",6.711,448,1999,V
Hòa Thuận,Quảng Hòa,Cao Bằng,"37,99",6.477,170,2007,V
Nguyên Bình,Nguyên Bình,Cao Bằng,"26,38",6.011,227,,V
Nước Hai,Hòa An,Cao Bằng,"21,27",13.304,625,,V
Pác Miầu,Bảo Lâm,Cao Bằng,"40,36",6.105,151,2006,V
Quảng Uyên,Quảng Hòa,Cao Bằng,"18,46",6.089,330,,V
Tà Lùng,Quảng Hòa,Cao Bằng,"6,36",7.573,1.19,1999,V
Thanh Nhật,Hạ Lang,Cao Bằng,"15,80",5.212,329,2006,V
Thông Nông,Hà Quảng,Cao Bằng,"9,35",5.087,544,1999,V
Tĩnh Túc,Nguyên Bình,Cao Bằng,"22,56",4.205,190,1963,V
Trà Lĩnh,Trùng Khánh,Cao Bằng,"14,90",5.356,359,2020,V
Trùng Khánh,Trùng Khánh,Cao Bằng,"13,81",6.843,496,1958,V
Xuân Hòa,Hà Quảng,Cao Bằng,"33,95",5.991,164,2006,V
Cốc Pài,Xín Mần,Hà Giang,"16,47",6.89,418,2009,V
Đồng Văn,Đồng Văn,Hà Giang,"30,31",7.845,258,2009,V
Mèo Vạc,Mèo Vạc,Hà Giang,"14,41",7.208,500,1999,V
Nông trường Việt Lâm,Vị Xuyên,Hà Giang,"16,47",6.092,369,1967,V
Phố Bảng,Đồng Văn,Hà Giang,"11,31",2.811,249,1961,V
Tam Sơn,Quản Bạ,Hà Giang,"12,30",6.572,534,1999,V
Vị Xuyên,Vị Xuyên,Hà Giang,"15,00",9.147,609,1994,V
Việt Quang,Bắc Quang,Hà Giang,"45,33",17.348,382,1986,IV
Vinh Quang,Hoàng Su Phì,Hà Giang,"6,37",7.582,1.19,1999,V
Vĩnh Tuy,Bắc Quang,Hà Giang,"10,8",5.812,538,1957,V
Yên Bình,Quang Bình,Hà Giang,"47,50",8.307,174,2010,V
Yên Minh,Yên Minh,Hà Giang,"30,47",8.129,267,1999,V
Yên Phú,Bắc Mê,Hà Giang,"67,23",8.532,126,2009,V
Bắc Sơn,Bắc Sơn,Lạng Sơn,"14,91",6.402,429,1985,V
Bình Gia,Bình Gia,Lạng Sơn,"37,34",8.521,228,,V
Cao Lộc,Cao Lộc,Lạng Sơn,"2,76",7.521,2.725,1994,V
Chi Lăng,Chi Lăng,Lạng Sơn,"20,78",7.321,352,1983,V
Đình Lập,Đình Lập,Lạng Sơn,"6,37",5.728,899,1977,V
Đồng Đăng,Cao Lộc,Lạng Sơn,7,10.584,1.366,,IV
Đồng Mỏ,Chi Lăng,Lạng Sơn,"35,64",14.275,401,,V
Hữu Lũng,Hữu Lũng,Lạng Sơn,"4,8",12.335,2.569,1965[2],V
Lộc Bình,Lộc Bình,Lạng Sơn,"17,77",9.427,531,,V
Na Dương,Lộc Bình,Lạng Sơn,"11,15",8.292,743,1984,V
Na Sầm,Văn Lãng,Lạng Sơn,"14,68",6.229,424,,V
Nông trường Thái Bình,Đình Lập,Lạng Sơn,"11,62",5.53,475,1965,V
Thất Khê,Tràng Định,Lạng Sơn,"0,86",6.871,7.989,,V
Văn Quan,Văn Quan,Lạng Sơn,"16,84",5.427,322,1985,V
Cẩm Khê,Cẩm Khê,Phú Thọ,"17,78",15.07,848,2019,V
Đoan Hùng,Đoan Hùng,Phú Thọ,"5,13",7.165,1.397,1994,V
Hạ Hòa,Hạ Hòa,Phú Thọ,"10,03",8.295,827,1997,V
Hùng Sơn,Lâm Thao,Phú Thọ,"4,7",9.444,2.009,2005,V
Hưng Hóa,Tam Nông,Phú Thọ,"4,53",4.455,983,1997,V
Lâm Thao,Lâm Thao,Phú Thọ,"5,89",7.621,1.293,1997,V
Phong Châu,Phù Ninh,Phú Thọ,"9,38",16.836,"1,795",1989,V
Thanh Ba,Thanh Ba,Phú Thọ,"4,81",8.201,1.705,1995,V
Thanh Sơn,Thanh Sơn,Phú Thọ,"4,15",15.404,3.712,1997,V
Thanh Thủy,Thanh Thủy,Phú Thọ,"9,24",5.561,602,2010,V
Yên Lập,Yên Lập,Phú Thọ,"11,96",8.074,675,1997,V
Ba Chẽ,Ba Chẽ,Quảng Ninh,"6,99",4.635,663,1977,V
Bình Liêu,Bình Liêu,Quảng Ninh,"45,18",7.683,170,1977,V
Cái Rồng,Vân Đồn,Quảng Ninh,"8,8",9.52,1.082,1981,IV
Cô Tô,Cô Tô,Quảng Ninh,"6,5",3.136,482,1999,V
Đầm Hà,Đầm Hà,Quảng Ninh,"3,37",7.9,2.344,1991,V
Quảng Hà,Hải Hà,Quảng Ninh,"26,02",14.815,569,1979,IV
Tiên Yên,Tiên Yên,Quảng Ninh,"7,07",7.519,1.064,1955,IV
Chợ Chu,Định Hóa,Thái Nguyên,"4,47",6.526,1.46,1958,V
Đình Cả,Võ Nhai,Thái Nguyên,"10,16",3.81,375,1990,V
Đu,Phú Lương,Thái Nguyên,"9,4",8.583,913,1994,V
Giang Tiên,Phú Lương,Thái Nguyên,"3,81",3.605,946,1977,V
Hóa Thượng,Đồng Hỷ,Thái Nguyên,"13,38",13.871,1.037,2023,V
Hùng Sơn,Đại Từ,Thái Nguyên,"14,63",25.051,1.712,2013,IV
Hương Sơn,Phú Bình,Thái Nguyên,"9,78",9.456,967,2003,V
Quân Chu,Đại Từ,Thái Nguyên,"11,85",4.036,341,2011,V
Sông Cầu,Đồng Hỷ,Thái Nguyên,"10,4",6.482,623,2011,V
Trại Cau,Đồng Hỷ,Thái Nguyên,"6,27",5.947,949,1962,V
Lăng Can,Lâm Bình,Tuyên Quang,"73,33",8.373,114,2021,V
Na Hang,Na Hang,Tuyên Quang,"43,63",7.289,167,1987,V
Sơn Dương,Sơn Dương,Tuyên Quang,"20,74",20.413,984,1994,V
Tân Yên,Hàm Yên,Tuyên Quang,"33,23",11.155,336,1985,V
Vĩnh Lộc,Chiêm Hóa,Tuyên Quang,"7,27",8.594,1.182,1946,V
Yên Sơn,Yên Sơn,Tuyên Quang,"29,21",22.041,755,2021,V
Điện Biên Đông,Điện Biên Đông,Điện Biên,"18,9",3.448,182,2005,V
Mường Ảng,Mường Ảng,Điện Biên,"6,46",5.365,830,1997,V
Mường Chà,Mường Chà,Điện Biên,"10,26",4.151,405,1997,V
Tủa Chùa,Tủa Chùa,Điện Biên,"14,49",8.184,565,1989,V
Tuần Giáo,Tuần Giáo,Điện Biên,"17,60",8.034,456,1965,V
Ba Hàng Đồi,Lạc Thủy,Hòa Bình,"27,11",7.372,272,2019,V
Bo,Kim Bôi,Hòa Bình,"13,27",14.401,1.085,1978,V
Cao Phong,Cao Phong,Hòa Bình,"9,45",6.241,660,1994,V
Chi Nê,Lạc Thủy,Hòa Bình,"14,82",7.743,522,1990,V
Đà Bắc,Đà Bắc,Hòa Bình,"14,84",7.472,504,1990,V
Hàng Trạm,Yên Thủy,Hòa Bình,"32,14",11.503,358,1994,V
Lương Sơn,Lương Sơn,Hòa Bình,"17,3",14.248,824,1986,IV
Mai Châu,Mai Châu,Hòa Bình,"13,02",5.938,456,1990,V
Mãn Đức,Tân Lạc,Hòa Bình,"40,01",14.655,366,2019,V
Vụ Bản,Lạc Sơn,Hòa Bình,"13,57",9.497,700,1957,V
Mường Tè,Mường Tè,Lai Châu,"12,45",5.85,470,1987,V
Nậm Nhùn,Nậm Nhùn,Lai Châu,"29,95",5.745,191,2011,V
Phong Thổ,Phong Thổ,Lai Châu,"44,42",6.316,142,2004,V
Sìn Hồ,Sìn Hồ,Lai Châu,"9,51",6.215,653,1977,V
Tam Đường,Tam Đường,Lai Châu,"23,00",7.398,322,2004,V
Tân Uyên,Tân Uyên,Lai Châu,"70,95",14.028,198,2008,V
Than Uyên,Than Uyên,Lai Châu,"9,62",8.062,838,1991,V
Bát Xát,Bát Xát,Lào Cai,"15,24",6.933,455,1994,V
Bắc Hà,Bắc Hà,Lào Cai,"1,83",6.378,3.452,1975,V
Khánh Yên,Văn Bàn,Lào Cai,"7,5",8.536,1.138,1989,V
Mường Khương,Mường Khương,Lào Cai,"35,65",9.635,270,2010,V
Nông trường Phong Hải,Bảo Thắng,Lào Cai,"91,06",9.031,99,1977,V
Phố Lu,Bảo Thắng,Lào Cai,"22,19",10.802,487,1979,V
Phố Ràng,Bảo Yên,Lào Cai,"13,6",10.033,737,1986,V
Si Ma Cai,Si Ma Cai,Lào Cai,"15,01",5.652,377,2020,V
Tằng Loỏng,Bảo Thắng,Lào Cai,"36,12",6.947,192,1986,V
Bắc Yên,Bắc Yên,Sơn La,"8,92",6.871,770,1999,V
Hát Lót,Mai Sơn,Sơn La,"13,76",20.034,1.445,1977,IV
Ít Ong,Mường La,Sơn La,"34,85",18.362,526,2007,V
Mộc Châu,Mộc Châu,Sơn La,"10,92",15.782,1.445,1961,IV
Nông trường Mộc Châu,Mộc Châu,Sơn La,"108,39",21.879,292,1968,IV
Phù Yên,Phù Yên,Sơn La,"1,05",9.207,8.769,1977,V
Sông Mã,Sông Mã,Sơn La,"4,47",10.438,2.335,1977,V
Thuận Châu,Thuận Châu,Sơn La,"1,04",12.432,11.953,,V
Yên Châu,Yên Châu,Sơn La,"1,15",6.795,5.908,1988,V
Cổ Phúc,Trấn Yên,Yên Bái,"4,36",5.788,1.328,1989,V
Mậu A,Văn Yên,Yên Bái,"8,11",11.596,1.43,1987,V
Mù Cang Chải,Mù Cang Chải,Yên Bái,"7,06",3.425,485,1998,V
Nông trường Liên Sơn,Văn Chấn,Yên Bái,"11,77",6.095,517,1968,V
Nông trường Trần Phú,Văn Chấn,Yên Bái,"18,92",7.325,387,1968,V
Sơn Thịnh,Văn Chấn,Yên Bái,"31,52",8.831,280,2020,V
Thác Bà,Yên Bình,Yên Bái,"12,61",6.024,477,1977,V
Trạm Tấu,Trạm Tấu,Yên Bái,"3,73",2.926,784,1998,V
Yên Bình,Yên Bình,Yên Bái,25,12.143,485,1986,V
Yên Thế,Lục Yên,Yên Bái,"15,07",9.861,654,1987,V
Chờ,Yên Phong,Bắc Ninh,"5,45",18.738,3.438,1998,V
Gia Bình,Gia Bình,Bắc Ninh,"4,36",8.203,1.881,2002,V
Lim,Tiên Du,Bắc Ninh,"5,12",13.055,2.55,1998,V
Thứa,Lương Tài,Bắc Ninh,"6,92",10.795,1.56,1998,V
Ba Sao,Kim Bảng,Hà Nam,"34,76",5.723,164,2009,IV
Bình Mỹ,Bình Lục,Hà Nam,"14,62",13.341,913,1987,V
Kiện Khê,Thanh Liêm,Hà Nam,"7,52",9.201,1.223,1984,V
Quế,Kim Bảng,Hà Nam,"3,08",5.226,1.696,1986,IV
Tân Thanh,Thanh Liêm,Hà Nam,"11,76",9.496,807,2019,V
Vĩnh Trụ,Lý Nhân,Hà Nam,"5,11",10.886,2.13,1987,V
Chi Đông,Mê Linh,Hà Nội,"4,86",9.861,2.029,2008,V
Chúc Sơn,Chương Mỹ,Hà Nội,"5,52",9.254,1.676,1990,V
Đại Nghĩa,Mỹ Đức,Hà Nội,"4,9",8.015,1.636,2004,V
Đông Anh,Đông Anh,Hà Nội,"4,57",25.274,5.53,1982,V
Kim Bài,Thanh Oai,Hà Nội,"4,32",7.069,1.636,1994,V
Liên Quan,Thạch Thất,Hà Nội,"2,91",6.552,2.252,1994,V
Phú Minh,Phú Xuyên,Hà Nội,"1,22",4.795,3.93,1986,V
Phú Xuyên,Phú Xuyên,Hà Nội,"6,86",9.97,1.453,1986,V
Phúc Thọ,Phúc Thọ,Hà Nội,"3,86",8.72,2.259,1994,V
Phùng,Đan Phượng,Hà Nội,"2,97",10.605,3.571,1994,V
Quang Minh,Mê Linh,Hà Nội,"8,9",19.126,2.148,2008,V
Quốc Oai,Quốc Oai,Hà Nội,"5,03",14.491,2.881,1988,V
Sóc Sơn,Sóc Sơn,Hà Nội,"0,82",4.849,5.913,1987,V
Tây Đằng,Ba Vì,Hà Nội,"12,05",15.582,1.293,1994,V
Thường Tín,Thường Tín,Hà Nội,"0,74",6.178,8.349,1988,V
Trạm Trôi,Hoài Đức,Hà Nội,"1,22",6.217,5.096,1994,V
Trâu Quỳ,Gia Lâm,Hà Nội,"7,35",23.772,3.234,2005,V
Văn Điển,Thanh Trì,Hà Nội,"0,9",16.762,18.624,1958,V
Vân Đình,Ứng Hòa,Hà Nội,"5,39",14.34,2.66,1965,V
Xuân Mai,Chương Mỹ,Hà Nội,"10,52",23.265,2.211,1984,V
Yên Viên,Gia Lâm,Hà Nội,"1,02",15.029,14.739,1959,V
Cẩm Giang,Cẩm Giàng,Hải Dương,"5,57",8.308,1.492,2019,V
Gia Lộc,Gia Lộc,Hải Dương,"7,67",18.307,2.387,1994,V
Kẻ Sặt,Bình Giang,Hải Dương,"3,02",10.359,3.43,1958,V
Lai Cách,Cẩm Giàng,Hải Dương,"7,15",11.2,1.566,1998,V
Nam Sách,Nam Sách,Hải Dương,"4,55",11.931,2.622,1989,V
Ninh Giang,Ninh Giang,Hải Dương,"1,66",6.224,3.749,1965,V
Phú Thái,Kim Thành,Hải Dương,"2,68",6.216,2.319,1995,V
Thanh Hà,Thanh Hà,Hải Dương,"5,27",8.368,1.588,1997,V
Thanh Miện,Thanh Miện,Hải Dương,"9,59",14.884,1.552,1996,V
Tứ Kỳ,Tứ Kỳ,Hải Dương,"4,38",7.656,1.748,1997,V
An Dương,An Dương,Hải Phòng,"1,79",8.295,4.634,1987,V
An Lão,An Lão,Hải Phòng,"1,66",4.849,2.921,1993,V
Cát Bà,Cát Hải,Hải Phòng,"18,7",12.054,645,1957,V
Cát Hải,Cát Hải,Hải Phòng,"2,94",6.093,2.072,1988,V
Minh Đức,Thủy Nguyên,Hải Phòng,"13,55",11.641,859,1986,V
Núi Đèo,Thủy Nguyên,Hải Phòng,"0,97",5.03,5.186,1986,V
Núi Đối,Kiến Thụy,Hải Phòng,"1,59",3.603,2.266,1987,V
Tiên Lãng,Tiên Lãng,Hải Phòng,"6,23",14.849,2.383,1987,V
Trường Sơn,An Lão,Hải Phòng,"3,6",8.372,2.326,2007,V
Vĩnh Bảo,Vĩnh Bảo,Hải Phòng,"2,52",8.435,3.343,1986,V
Ân Thi,Ân Thi,Hưng Yên,"7,7",9.445,1.227,1996,V
Khoái Châu,Khoái Châu,Hưng Yên,"4,35",8.146,1.873,1997,V
Lương Bằng,Kim Động,Hưng Yên,"7,43",9.991,1.345,2002,V
Như Quỳnh,Văn Lâm,Hưng Yên,"7,07",20.604,2.914,1999,IV
Trần Cao,Phù Cừ,Hưng Yên,"4,8",6.196,1.291,2000,V
Văn Giang,Văn Giang,Hưng Yên,"6,84",11.347,1.659,1999,V
Vương,Tiên Lữ,Hưng Yên,"2,28",5.282,2.317,1995,V
Yên Mỹ,Yên Mỹ,Hưng Yên,"4,22",14.404,3.413,1994,V
Cát Thành,Trực Ninh,Nam Định,"8,3",14.577,1.756,2006,V
Cổ Lễ,Trực Ninh,Nam Định,"4,93",12.158,2.466,1984,V
Cồn,Hải Hậu,Nam Định,"2,15",7.274,3.383,1958,V
Gôi,Vụ Bản,Nam Định,"4,75",7.34,1.545,1986,V
Lâm,Ý Yên,Nam Định,"6,86",10.857,1.583,1986,V
Liễu Đề,Nghĩa Hưng,Nam Định,"4,18",6.254,1.496,1987,V
Mỹ Lộc,Mỹ Lộc,Nam Định,"4,69",5.057,1.078,2003,V
Nam Giang,Nam Trực,Nam Định,"7,02",17.833,2.54,2003,V
Ngô Đồng,Giao Thủy,Nam Định,"2,16",6.006,2.78,1986,V
Ninh Cường,Trực Ninh,Nam Định,"7,43",10.244,1.378,2017,V
Quất Lâm,Giao Thủy,Nam Định,"7,59",9.726,1.281,2003,V
Quỹ Nhất,Nghĩa Hưng,Nam Định,"5,46",6.274,1.146,2007,V
Rạng Đông,Nghĩa Hưng,Nam Định,"13,1",5.882,449,1987,V
Thịnh Long,Hải Hậu,Nam Định,"15,68",23.5,1.498,1997,IV
Xuân Trường,Xuân Trường,Nam Định,"6,16",8.547,1.388,2003,V
Yên Định,Hải Hậu,Nam Định,"1,76",10,5.681,1986,V
Bình Minh,Kim Sơn,Ninh Bình,"9,15",3.6,393,1987,V
Me,Gia Viễn,Ninh Bình,"3,4",5.574,1.639,1986,V
Nho Quan,Nho Quan,Ninh Bình,"2,81",9.299,3.309,1953,V
Phát Diệm,Kim Sơn,Ninh Bình,"1,05",10.687,10.178,1987,V
Thiên Tôn,Hoa Lư,Ninh Bình,"2,16",4.121,1.908,2003,V
Yên Ninh,Yên Khánh,Ninh Bình,"8,12",14.236,1.753,1996,V
Yên Thịnh,Yên Mô,Ninh Bình,"7,63",9.036,1.184,1997,V
An Bài,Quỳnh Phụ,Thái Bình,7,9.4,1.342,2005,V
Diêm Điền,Thái Thụy,Thái Bình,"12,82",22.17,1.729,1986,IV
Đông Hưng,Đông Hưng,Thái Bình,"0,65",4.332,6.664,1986,V
Hưng Hà,Hưng Hà,Thái Bình,"5,5",8,1.454,1989,V
Hưng Nhân,Hưng Hà,Thái Bình,"8,64",14.5,1.678,2005,V
Kiến Xương,Kiến Xương,Thái Bình,"11,26",12.254,1.088,2020,V
Quỳnh Côi,Quỳnh Phụ,Thái Bình,"1,2",6,5000,1969,V
Tiền Hải,Tiền Hải,Thái Bình,"9,39",13.562,1.444,1986,V
Vũ Thư,Vũ Thư,Thái Bình,"1,1",4.532,4.12,1986,V
Bá Hiến,Bình Xuyên,Vĩnh Phúc,"12,81",16.791,1.311,2020,V
Đại Đình,Tam Đảo,Vĩnh Phúc,"34,56",11.52,333,2020,V
Đạo Đức,Bình Xuyên,Vĩnh Phúc,"9,44",14.543,1.541,2020,V
Gia Khánh,Bình Xuyên,Vĩnh Phúc,"9,39",11.221,1.194,2007,V
Hoa Sơn,Lập Thạch,Vĩnh Phúc,"4,85",6.93,1.428,2008,V
Hợp Châu,Tam Đảo,Vĩnh Phúc,"9,99",10.267,1.028,2020,V
Hợp Hòa,Tam Dương,Vĩnh Phúc,"8,61",11.154,1.295,2003,V
Hương Canh,Bình Xuyên,Vĩnh Phúc,"9,95",16.341,1.642,1995,V
Kim Long,Tam Dương,Vĩnh Phúc,"15,1",12.55,831,2023,V
Lập Thạch,Lập Thạch,Vĩnh Phúc,"4,15",5.568,1.341,1995,V
Tam Đảo,Tam Đảo,Vĩnh Phúc,"2,14",734,343,1966,V
Tam Hồng,Yên Lạc,Vĩnh Phúc,"9,3",16.506,1.775,2023,V
Tam Sơn,Sông Lô,Vĩnh Phúc,"3,76",7.655,2.035,2008,V
Thanh Lãng,Bình Xuyên,Vĩnh Phúc,"9,48",13.437,1.417,2007,V
Thổ Tang,Vĩnh Tường,Vĩnh Phúc,"5,27",16.853,3.197,2007,V
Tứ Trưng,Vĩnh Tường,Vĩnh Phúc,"4,97",7.177,1.444,2011,V
Vĩnh Tường,Vĩnh Tường,Vĩnh Phúc,"3,31",3.873,1.17,1995,V
Yên Lạc,Yên Lạc,Vĩnh Phúc,"6,44",14.986,2.327,1997,V
Cẩm Xuyên,Cẩm Xuyên,Hà Tĩnh,"15,53",12.857,828,1986,V
Đồng Lộc,Can Lộc,Hà Tĩnh,"18,69",6.076,325,2018,V
Đức Thọ,Đức Thọ,Hà Tĩnh,"6,70",11.728,1.75,1953,V
Hương Khê,Hương Khê,Hà Tĩnh,"5,66",11.435,2.02,1985,V
Lộc Hà,Lộc Hà,Hà Tĩnh,"9,39",9.624,1.025,2019,V
Nghèn,Can Lộc,Hà Tĩnh,"18,33",16.913,923,1998,V
Phố Châu,Hương Sơn,Hà Tĩnh,"4,22",8.481,2.01,1988,V
Tây Sơn,Hương Sơn,Hà Tĩnh,"4,20",5.859,1.395,1997,V
Thạch Hà,Thạch Hà,Hà Tĩnh,"14,93",13.647,914,2001,V
Thiên Cầm,Cẩm Xuyên,Hà Tĩnh,"14,07",4.939,353,2003,V
Tiên Điền,Nghi Xuân,Hà Tĩnh,"5,05",5.656,1.12,2019,V
Vũ Quang,Vũ Quang,Hà Tĩnh,"37,86",3.835,101,2003,V
Xuân An,Nghi Xuân,Hà Tĩnh,"10,46",11,1.052,1994,V
Anh Sơn,Anh Sơn,Nghệ An,"2,86",5.401,1.888,1988,V
Cầu Giát,Quỳnh Lưu,Nghệ An,"2,82",9.595,3.403,1953,V
Con Cuông,Con Cuông,Nghệ An,"2,5",5.653,2.261,1988,V
Diễn Châu,Diễn Châu,Nghệ An,"0,82",6.896,8.41,1977,V
Đô Lương,Đô Lương,Nghệ An,"2,31",10.102,4.373,1990,V
Hưng Nguyên,Hưng Nguyên,Nghệ An,"7,03",9.66,1.374,1998,V
Kim Sơn,Quế Phong,Nghệ An,"23,44",7.897,337,1990,V
Mường Xén,Kỳ Sơn,Nghệ An,"1,25",2.952,2.362,1984,V
Nam Đàn,Nam Đàn,Nghệ An,"18,70",20.6,1.102,1987,V
Nghĩa Đàn,Nghĩa Đàn,Nghệ An,"8,53",5.558,652,2011,V
Quán Hành,Nghi Lộc,Nghệ An,"3,9",9.02,2.312,1986,V
Quỳ Hợp,Quỳ Hợp,Nghệ An,"7,31",11.98,1.639,1983,V
Tân Kỳ,Tân Kỳ,Nghệ An,"7,35",7.976,1.085,1988,V
Tân Lạc,Quỳ Châu,Nghệ An,"5,48",4.958,905,1990,V
Thạch Giám,Tương Dương,Nghệ An,"69,30",7.6,110,2019,V
Thanh Chương,Thanh Chương,Nghệ An,"2,84",8.964,3.156,1984,V
Yên Thành,Yên Thành,Nghệ An,"2,63",4.855,1.846,1986,V
Đồng Lê,Tuyên Hóa,Quảng Bình,"10,72",6.071,566,1999,V
Hoàn Lão,Bố Trạch,Quảng Bình,"13,04",11.493,881,1986,IV
Kiến Giang,Lệ Thủy,Quảng Bình,"3,14",6.453,2.055,1986,IV
Nông trường Lệ Ninh,Lệ Thủy,Quảng Bình,"11,35",5.296,466,1965,V
Nông trường Việt Trung,Bố Trạch,Quảng Bình,"86,04",9.782,113,1966,V
Phong Nha,Bố Trạch,Quảng Bình,"99,48",12.475,125,2020,V
Quán Hàu,Quảng Ninh,Quảng Bình,"3,24",4.993,1.541,1999,V
Quy Đạt,Minh Hóa,Quảng Bình,"15,27",7.608,498,2000,V
Ái Tử,Triệu Phong,Quảng Trị,"3,45",4.32,1.252,1994,V
Bến Quan,Vĩnh Linh,Quảng Trị,"3,96",3.385,855,1994,V
Cam Lộ,Cam Lộ,Quảng Trị,"9,92",6.981,704,1994,V
Cửa Tùng,Vĩnh Linh,Quảng Trị,"10,47",8.336,796,2009,V
Cửa Việt,Gio Linh,Quảng Trị,"7,34",4.5,613,2005,V
Diên Sanh,Hải Lăng,Quảng Trị,"24,60",8.504,346,2019,V
Gio Linh,Gio Linh,Quảng Trị,"7,53",7.002,930,1994,V
Hồ Xá,Vĩnh Linh,Quảng Trị,"6,92",13,1.879,1994,V
Khe Sanh,Hướng Hóa,Quảng Trị,"12,88",13.927,1.081,1984,V
Krông Klang,Đakrông,Quảng Trị,"18,21",4.732,260,2004,V
Lao Bảo,Hướng Hóa,Quảng Trị,"17,17",12.862,749,1994,V
Bến Sung,Như Thanh,Thanh Hóa,"21,92",10.251,468,2002,V
Bút Sơn,Hoằng Hóa,Thanh Hóa,"7,72",12.089,1.566,1989,V
Cành Nàng,Bá Thước,Thanh Hóa,"25,22",9.597,381,1994,V
Hà Trung,Hà Trung,Thanh Hóa,"5,11",9.196,1.8,1988,V
Hậu Lộc,Hậu Lộc,Thanh Hóa,"9,89",11.574,1.17,1989,V
Hậu Hiền,Thiệu Hóa,Thanh Hóa,"10,41",12.061,1.159,2023,V
Hồi Xuân,Quan Hóa,Thanh Hóa,"72,81",7.214,99,2019,V
Kim Tân,Thạch Thành,Thanh Hóa,"10,76",10.623,987,1990,V
Lam Sơn,Thọ Xuân,Thanh Hóa,"8,91",10.89,1.222,1991,IV
Lang Chánh,Lang Chánh,Thanh Hóa,"26,82",9.479,353,1991,V
Mường Lát,Mường Lát,Thanh Hóa,"129,66",7.084,55,2003,V
Nga Sơn,Nga Sơn,Thanh Hóa,"7,08",12.2,1.723,1988,V
Ngọc Lặc,Ngọc Lặc,Thanh Hóa,"35,13",22.364,637,1988,IV
